Rk,Player,player_id
1,Peyton Manning,MannPe00
2,Brett Favre,FavrBr00
3,Dan Marino,MariDa00
4,John Elway,ElwaJo00
5,George Blanda,BlanGe00
6,Fran Tarkenton,TarkFr00
7,Warren Moon,MoonWa00
8,Joe Montana,MontJo01
9,Steve Young,YounSt00
10,Johnny Unitas,UnitJo00
11,Dan Fouts,FoutDa00
12,Y.A. Tittle,TittY.00
13,Jim Kelly,KellJi00
14,Sonny Jurgensen,JurgSo00
15,Terry Bradshaw,BradTe00
16,Len Dawson,DawsLe00
17,Kurt Warner,WarnKu00
18,Troy Aikman,AikmTr00
19,Bobby Layne,LaynBo00
20,Otto Graham,GrahOt00
21,Roger Staubach,StauRo00
22,Bob Griese,GrieBo00
23,Bart Starr,StarBa00
24,Ken Stabler,StabKe00
25,Joe Namath,NamaJo00
26,Norm Van Brocklin,VanBNo00
27,Bob Waterfield,WateBo01
28,Sid Luckman,LuckSi00
29,Sammy Baugh,BaugSa00
30,Charley Trippi,TripCh00
31,Paddy Driscoll,DrisPa20
